id,text,category,priority
378,Database keeps crashing on my printer. Code ERR-9999.,Other,medium
379,WiFi fails to load on my laptop showing 0xC004F012.,Network Problem,high
380,"I am unable to access Teams on my tablet, it shows error FAIL-101.",Security,high
381,Outlook fails to load on my server showing AUTH-007.,Software Bug,medium
382,My laptop stopped working when I tried to use Outlook. Error displayed: NET-503.,Account/Access Issue,critical
383,There is a problem with WiFi on the server. Error: ERR42.,Security,high
384,"I am unable to access Active Directory on my printer, it shows error 0x80070005.",Network Problem,high
385,Database fails to load on my server showing AUTH-007.,Other,medium
386,I can't log into Active Directory from my server. It returns ERR-9999.,Account/Access Issue,medium
387,Database fails to load on my desktop showing AUTH-007.,Hardware Issue,medium
388,Salesforce keeps crashing on my laptop. Code TIMEOUT-22.,Service Request,critical
389,Teams fails to load on my server showing 0x80070005.,Hardware Issue,high
390,My desktop stopped working when I tried to use Outlook. Error displayed: ERR-9999.,Other,medium
391,My server stopped working when I tried to use Teams. Error displayed: ERR42.,Service Request,low
392,Active Directory keeps crashing on my desktop. Code 0xC004F012.,Software Bug,high
393,I can't log into Active Directory from my desktop. It returns 0xC004F012.,Service Request,high
394,I can't log into Salesforce from my router. It returns AUTH-007.,Network Problem,medium
395,Zoom fails to load on my tablet showing ERR-9999.,Account/Access Issue,low
396,I can't log into CRM Portal from my mobile. It returns ERR42.,Service Request,critical
397,"I am unable to access Outlook on my printer, it shows error ERR42.",Other,medium
398,There is a problem with Zoom on the tablet. Error: ERR42.,Account/Access Issue,critical
399,My router stopped working when I tried to use Zoom. Error displayed: NET-503.,Security,critical
400,Database fails to load on my server showing 0xC004F012.,Network Problem,high
401,CRM Portal keeps crashing on my mobile. Code NET-503.,Software Bug,critical
402,VPN keeps crashing on my printer. Code ERR-9999.,Security,low
403,CRM Portal keeps crashing on my laptop. Code 0xC004F012.,Service Request,high
404,My laptop stopped working when I tried to use Outlook. Error displayed: ERR42.,Service Request,high
405,CRM Portal keeps crashing on my tablet. Code AUTH-007.,Hardware Issue,medium
406,"I am unable to access Active Directory on my router, it shows error ERR-9999.",Other,high
407,"I am unable to access Email on my server, it shows error 0x80070005.",Software Bug,high
408,Outlook fails to load on my tablet showing 0xC004F012.,Service Request,high
409,There is a problem with Outlook on the server. Error: ERR42.,Other,low
410,My printer stopped working when I tried to use Salesforce. Error displayed: TIMEOUT-22.,Service Request,critical
411,I can't log into Database from my mobile. It returns ERR-9999.,Service Request,high
412,"I am unable to access Email on my printer, it shows error 0xC004F012.",Hardware Issue,high
413,My tablet stopped working when I tried to use Salesforce. Error displayed: AUTH-007.,Service Request,medium
414,I can't log into Email from my mobile. It returns ERR42.,Service Request,low
415,"I am unable to access Database on my router, it shows error FAIL-101.",Hardware Issue,high
416,Salesforce keeps crashing on my laptop. Code FAIL-101.,Account/Access Issue,high
417,My printer stopped working when I tried to use Database. Error displayed: NET-503.,Security,critical
418,There is a problem with Teams on the laptop. Error: TIMEOUT-22.,Other,critical
419,There is a problem with CRM Portal on the router. Error: FAIL-101.,Other,high
420,Outlook keeps crashing on my desktop. Code 0x80070005.,Security,high
421,Zoom fails to load on my printer showing AUTH-007.,Account/Access Issue,medium
422,"I am unable to access VPN on my mobile, it shows error ERR-9999.",Service Request,medium
423,CRM Portal keeps crashing on my printer. Code ERR42.,Security,medium
424,My server stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Network Problem,high
425,My laptop stopped working when I tried to use Teams. Error displayed: 0xC004F012.,Security,high
426,WiFi fails to load on my mobile showing ERR-9999.,Other,low
427,Teams keeps crashing on my router. Code AUTH-007.,Account/Access Issue,medium
428,Email fails to load on my server showing NET-503.,Hardware Issue,critical
429,CRM Portal fails to load on my router showing 0x80070005.,Account/Access Issue,high
430,I can't log into Outlook from my mobile. It returns TIMEOUT-22.,Software Bug,critical
431,Salesforce fails to load on my mobile showing FAIL-101.,Service Request,high
432,"I am unable to access WiFi on my desktop, it shows error ERR-9999.",Security,medium
433,Email keeps crashing on my printer. Code AUTH-007.,Account/Access Issue,medium
434,"I am unable to access Active Directory on my printer, it shows error ERR-9999.",Hardware Issue,high
435,My tablet stopped working when I tried to use WiFi. Error displayed: AUTH-007.,Hardware Issue,medium
436,My desktop stopped working when I tried to use WiFi. Error displayed: 0xC004F012.,Service Request,high
437,"I am unable to access WiFi on my mobile, it shows error 0xC004F012.",Security,high
438,My desktop stopped working when I tried to use Salesforce. Error displayed: ERR-9999.,Network Problem,low
439,Teams fails to load on my router showing FAIL-101.,Network Problem,high
440,I can't log into CRM Portal from my printer. It returns TIMEOUT-22.,Hardware Issue,critical
441,Email keeps crashing on my router. Code 0xC004F012.,Other,high
442,There is a problem with WiFi on the tablet. Error: TIMEOUT-22.,Software Bug,critical
443,My router stopped working when I tried to use CRM Portal. Error displayed: 0x80070005.,Software Bug,high
444,"I am unable to access Zoom on my printer, it shows error 0xC004F012.",Software Bug,high
445,My server stopped working when I tried to use Salesforce. Error displayed: FAIL-101.,Other,high
446,I can't log into Database from my printer. It returns 0x80070005.,Account/Access Issue,high
447,There is a problem with Zoom on the server. Error: NET-503.,Network Problem,critical
448,VPN keeps crashing on my tablet. Code AUTH-007.,Network Problem,medium
449,I can't log into Active Directory from my laptop. It returns ERR-9999.,Account/Access Issue,high
450,My mobile stopped working when I tried to use Outlook. Error displayed: 0xC004F012.,Service Request,high
451,Database keeps crashing on my mobile. Code 0xC004F012.,Service Request,high
452,I can't log into Outlook from my desktop. It returns 0x80070005.,Service Request,high
453,"I am unable to access Database on my desktop, it shows error NET-503.",Network Problem,critical
454,I can't log into Email from my router. It returns TIMEOUT-22.,Hardware Issue,critical
455,WiFi fails to load on my server showing ERR-9999.,Service Request,low
456,I can't log into Zoom from my mobile. It returns TIMEOUT-22.,Software Bug,critical
457,"I am unable to access Active Directory on my printer, it shows error ERR42.",Account/Access Issue,critical
458,Email fails to load on my mobile showing AUTH-007.,Network Problem,medium
459,My mobile stopped working when I tried to use Outlook. Error displayed: ERR42.,Service Request,low
460,There is a problem with Teams on the laptop. Error: 0x80070005.,Hardware Issue,high
461,WiFi fails to load on my desktop showing 0x80070005.,Service Request,high
462,I can't log into Active Directory from my laptop. It returns ERR42.,Hardware Issue,critical
463,I can't log into Email from my router. It returns FAIL-101.,Network Problem,high
464,Email fails to load on my mobile showing ERR42.,Account/Access Issue,critical
465,Database fails to load on my tablet showing 0x80070005.,Other,high
466,"I am unable to access Salesforce on my laptop, it shows error FAIL-101.",Service Request,high
467,"I am unable to access Teams on my desktop, it shows error FAIL-101.",Account/Access Issue,high
468,I can't log into Outlook from my desktop. It returns ERR-9999.,Software Bug,high
469,VPN fails to load on my router showing 0xC004F012.,Hardware Issue,high
470,Outlook fails to load on my tablet showing TIMEOUT-22.,Service Request,critical
471,"I am unable to access Zoom on my tablet, it shows error FAIL-101.",Other,high
472,I can't log into WiFi from my router. It returns NET-503.,Other,critical
473,Salesforce keeps crashing on my server. Code FAIL-101.,Security,high
474,Database keeps crashing on my desktop. Code TIMEOUT-22.,Security,critical
475,My printer stopped working when I tried to use WiFi. Error displayed: TIMEOUT-22.,Software Bug,critical
476,CRM Portal keeps crashing on my server. Code ERR42.,Account/Access Issue,critical
477,Active Directory fails to load on my tablet showing FAIL-101.,Service Request,high
478,"I am unable to access Database on my printer, it shows error AUTH-007.",Software Bug,medium
479,My desktop stopped working when I tried to use WiFi. Error displayed: AUTH-007.,Security,medium
480,Database fails to load on my laptop showing NET-503.,Service Request,critical
481,I can't log into Email from my tablet. It returns 0xC004F012.,Account/Access Issue,high
482,"I am unable to access VPN on my tablet, it shows error NET-503.",Security,critical
483,CRM Portal keeps crashing on my printer. Code FAIL-101.,Service Request,high
484,I can't log into Active Directory from my router. It returns NET-503.,Software Bug,critical
485,There is a problem with VPN on the laptop. Error: ERR42.,Hardware Issue,medium
486,WiFi fails to load on my laptop showing ERR42.,Service Request,critical
487,Salesforce keeps crashing on my mobile. Code 0xC004F012.,Security,high
488,Outlook keeps crashing on my printer. Code FAIL-101.,Account/Access Issue,high
489,"I am unable to access Database on my mobile, it shows error 0x80070005.",Security,high
490,"I am unable to access Email on my laptop, it shows error ERR-9999.",Software Bug,low
491,Email keeps crashing on my server. Code 0xC004F012.,Service Request,high
492,My printer stopped working when I tried to use Database. Error displayed: ERR-9999.,Account/Access Issue,medium
493,I can't log into Email from my router. It returns TIMEOUT-22.,Hardware Issue,critical
494,I can't log into Outlook from my server. It returns TIMEOUT-22.,Software Bug,critical
495,I can't log into VPN from my mobile. It returns ERR-9999.,Other,critical
496,I can't log into Teams from my laptop. It returns TIMEOUT-22.,Security,critical
497,Active Directory keeps crashing on my desktop. Code ERR42.,Service Request,low
498,VPN fails to load on my mobile showing FAIL-101.,Hardware Issue,high
499,CRM Portal fails to load on my mobile showing FAIL-101.,Security,high
500,My tablet stopped working when I tried to use Email. Error displayed: ERR42.,Account/Access Issue,critical
501,There is a problem with Teams on the server. Error: NET-503.,Security,critical
502,Outlook keeps crashing on my printer. Code ERR-9999.,Security,critical
503,My mobile stopped working when I tried to use Database. Error displayed: NET-503.,Network Problem,critical
504,Teams keeps crashing on my tablet. Code TIMEOUT-22.,Other,critical
505,Database fails to load on my laptop showing 0xC004F012.,Security,high
506,My printer stopped working when I tried to use Zoom. Error displayed: 0xC004F012.,Software Bug,high
507,"I am unable to access WiFi on my router, it shows error 0x80070005.",Software Bug,high
508,CRM Portal keeps crashing on my desktop. Code 0xC004F012.,Account/Access Issue,high
509,There is a problem with WiFi on the router. Error: AUTH-007.,Account/Access Issue,medium
510,My mobile stopped working when I tried to use CRM Portal. Error displayed: 0x80070005.,Security,high
511,"I am unable to access WiFi on my server, it shows error NET-503.",Other,critical
512,Email keeps crashing on my printer. Code ERR-9999.,Account/Access Issue,critical
513,"I am unable to access Zoom on my tablet, it shows error 0xC004F012.",Service Request,high
514,There is a problem with Zoom on the router. Error: NET-503.,Network Problem,critical
515,I can't log into Active Directory from my tablet. It returns TIMEOUT-22.,Other,critical
516,My router stopped working when I tried to use Outlook. Error displayed: 0xC004F012.,Hardware Issue,high
517,My printer stopped working when I tried to use WiFi. Error displayed: ERR42.,Account/Access Issue,medium
518,CRM Portal keeps crashing on my router. Code TIMEOUT-22.,Hardware Issue,critical
519,VPN keeps crashing on my server. Code AUTH-007.,Software Bug,medium
520,I can't log into Database from my desktop. It returns ERR42.,Software Bug,medium
521,I can't log into VPN from my mobile. It returns 0x80070005.,Service Request,high
522,My printer stopped working when I tried to use Teams. Error displayed: 0x80070005.,Other,high
523,I can't log into Outlook from my tablet. It returns NET-503.,Network Problem,critical
524,I can't log into Teams from my router. It returns AUTH-007.,Security,medium
525,Teams fails to load on my tablet showing AUTH-007.,Other,medium
526,"I am unable to access Email on my router, it shows error AUTH-007.",Software Bug,medium
527,Database keeps crashing on my server. Code 0x80070005.,Software Bug,high
528,Zoom keeps crashing on my router. Code TIMEOUT-22.,Security,critical
529,CRM Portal fails to load on my router showing 0xC004F012.,Security,high
530,Active Directory keeps crashing on my tablet. Code AUTH-007.,Service Request,medium
531,"I am unable to access Zoom on my server, it shows error 0xC004F012.",Service Request,high
532,"I am unable to access Database on my router, it shows error ERR42.",Account/Access Issue,low
533,"I am unable to access Outlook on my laptop, it shows error 0x80070005.",Account/Access Issue,high
534,There is a problem with Outlook on the tablet. Error: TIMEOUT-22.,Network Problem,critical
535,Database fails to load on my mobile showing FAIL-101.,Software Bug,high
536,There is a problem with Teams on the server. Error: 0x80070005.,Hardware Issue,high
537,I can't log into WiFi from my desktop. It returns AUTH-007.,Network Problem,medium
538,"I am unable to access Outlook on my printer, it shows error TIMEOUT-22.",Other,critical
539,My desktop stopped working when I tried to use Active Directory. Error displayed: TIMEOUT-22.,Hardware Issue,critical
540,I can't log into WiFi from my server. It returns TIMEOUT-22.,Other,critical
541,My server stopped working when I tried to use Database. Error displayed: NET-503.,Network Problem,critical
542,There is a problem with Outlook on the tablet. Error: AUTH-007.,Security,medium
543,There is a problem with Active Directory on the mobile. Error: 0x80070005.,Security,high
544,I can't log into Database from my printer. It returns FAIL-101.,Network Problem,high
545,CRM Portal fails to load on my server showing 0x80070005.,Security,high
546,Salesforce keeps crashing on my tablet. Code 0x80070005.,Account/Access Issue,high
547,I can't log into Zoom from my server. It returns ERR42.,Hardware Issue,low
548,There is a problem with Teams on the router. Error: FAIL-101.,Other,high
549,There is a problem with Email on the desktop. Error: FAIL-101.,Software Bug,high
550,There is a problem with Database on the printer. Error: AUTH-007.,Software Bug,medium
551,VPN fails to load on my server showing 0x80070005.,Security,high
552,"I am unable to access Active Directory on my router, it shows error 0xC004F012.",Account/Access Issue,high
553,"I am unable to access Teams on my desktop, it shows error 0xC004F012.",Security,high
554,There is a problem with Active Directory on the desktop. Error: ERR42.,Service Request,high
555,Salesforce fails to load on my printer showing 0xC004F012.,Hardware Issue,high
556,My laptop stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Service Request,critical
557,I can't log into Zoom from my desktop. It returns TIMEOUT-22.,Network Problem,critical
558,CRM Portal keeps crashing on my tablet. Code TIMEOUT-22.,Account/Access Issue,critical
559,"I am unable to access Active Directory on my router, it shows error TIMEOUT-22.",Hardware Issue,critical
560,Active Directory fails to load on my server showing FAIL-101.,Service Request,high
561,"I am unable to access WiFi on my laptop, it shows error 0x80070005.",Service Request,high
562,My router stopped working when I tried to use Outlook. Error displayed: AUTH-007.,Account/Access Issue,medium
563,WiFi keeps crashing on my laptop. Code 0x80070005.,Network Problem,high
564,My tablet stopped working when I tried to use Database. Error displayed: 0x80070005.,Account/Access Issue,high
565,There is a problem with Zoom on the mobile. Error: TIMEOUT-22.,Account/Access Issue,critical
566,There is a problem with CRM Portal on the desktop. Error: ERR-9999.,Service Request,medium
567,There is a problem with Email on the server. Error: TIMEOUT-22.,Hardware Issue,critical
568,There is a problem with VPN on the mobile. Error: 0x80070005.,Security,high
569,There is a problem with Teams on the printer. Error: TIMEOUT-22.,Network Problem,critical
570,VPN keeps crashing on my desktop. Code TIMEOUT-22.,Network Problem,critical
571,CRM Portal fails to load on my mobile showing TIMEOUT-22.,Security,critical
572,CRM Portal keeps crashing on my tablet. Code TIMEOUT-22.,Network Problem,critical
573,VPN keeps crashing on my router. Code AUTH-007.,Network Problem,medium
574,Salesforce keeps crashing on my router. Code FAIL-101.,Account/Access Issue,high
575,Zoom fails to load on my laptop showing ERR-9999.,Network Problem,medium
576,There is a problem with Active Directory on the server. Error: FAIL-101.,Hardware Issue,high
577,I can't log into VPN from my printer. It returns ERR-9999.,Other,high
578,There is a problem with WiFi on the laptop. Error: 0x80070005.,Security,high
579,There is a problem with Outlook on the server. Error: TIMEOUT-22.,Other,critical
580,WiFi fails to load on my desktop showing ERR42.,Hardware Issue,critical
581,I can't log into Database from my mobile. It returns ERR42.,Account/Access Issue,low
582,Teams keeps crashing on my desktop. Code 0x80070005.,Service Request,high
583,I can't log into CRM Portal from my mobile. It returns AUTH-007.,Software Bug,medium
584,I can't log into VPN from my printer. It returns 0xC004F012.,Service Request,high
585,WiFi keeps crashing on my laptop. Code 0x80070005.,Hardware Issue,high
586,"I am unable to access Teams on my server, it shows error TIMEOUT-22.",Hardware Issue,critical
587,I can't log into Email from my tablet. It returns ERR-9999.,Service Request,high
588,My router stopped working when I tried to use VPN. Error displayed: AUTH-007.,Hardware Issue,medium
589,I can't log into Email from my router. It returns 0xC004F012.,Software Bug,high
590,VPN fails to load on my mobile showing 0xC004F012.,Security,high
591,My server stopped working when I tried to use Outlook. Error displayed: 0x80070005.,Service Request,high
592,I can't log into Salesforce from my desktop. It returns AUTH-007.,Software Bug,medium
593,"I am unable to access CRM Portal on my printer, it shows error 0xC004F012.",Software Bug,high
594,There is a problem with Teams on the router. Error: NET-503.,Security,critical
595,My router stopped working when I tried to use Active Directory. Error displayed: 0xC004F012.,Service Request,high
596,Zoom keeps crashing on my printer. Code AUTH-007.,Security,medium
597,Active Directory fails to load on my router showing AUTH-007.,Account/Access Issue,medium
598,"I am unable to access Outlook on my router, it shows error TIMEOUT-22.",Service Request,critical
599,My printer stopped working when I tried to use CRM Portal. Error displayed: NET-503.,Network Problem,critical
600,Database keeps crashing on my router. Code 0x80070005.,Account/Access Issue,high
601,I can't log into Active Directory from my mobile. It returns TIMEOUT-22.,Network Problem,critical
602,I can't log into Teams from my server. It returns ERR-9999.,Account/Access Issue,medium
603,I can't log into Salesforce from my server. It returns 0xC004F012.,Service Request,high
604,My server stopped working when I tried to use Email. Error displayed: ERR-9999.,Service Request,low
605,"I am unable to access Outlook on my tablet, it shows error AUTH-007.",Security,medium
606,"I am unable to access WiFi on my printer, it shows error ERR42.",Hardware Issue,high
607,"I am unable to access Teams on my tablet, it shows error NET-503.",Other,critical
608,"I am unable to access Teams on my laptop, it shows error NET-503.",Account/Access Issue,critical
609,Database fails to load on my desktop showing TIMEOUT-22.,Account/Access Issue,critical
610,My server stopped working when I tried to use Teams. Error displayed: TIMEOUT-22.,Account/Access Issue,critical
611,I can't log into Teams from my router. It returns 0xC004F012.,Software Bug,high
612,VPN fails to load on my laptop showing FAIL-101.,Service Request,high
613,Email fails to load on my router showing ERR42.,Hardware Issue,high
614,There is a problem with VPN on the server. Error: 0xC004F012.,Account/Access Issue,high
615,Outlook keeps crashing on my router. Code ERR42.,Other,critical
616,I can't log into Teams from my router. It returns AUTH-007.,Other,medium
617,There is a problem with Salesforce on the mobile. Error: 0x80070005.,Other,high
618,There is a problem with WiFi on the desktop. Error: 0xC004F012.,Other,high
619,There is a problem with Email on the desktop. Error: ERR42.,Service Request,critical
620,There is a problem with Teams on the printer. Error: FAIL-101.,Network Problem,high
621,Zoom keeps crashing on my server. Code ERR42.,Security,medium
622,Email fails to load on my desktop showing ERR42.,Software Bug,low
623,Zoom fails to load on my mobile showing 0x80070005.,Other,high
624,Zoom keeps crashing on my printer. Code ERR-9999.,Software Bug,medium
625,There is a problem with Teams on the desktop. Error: 0xC004F012.,Other,high
626,VPN fails to load on my router showing 0x80070005.,Software Bug,high
627,Email fails to load on my printer showing ERR-9999.,Service Request,low
628,My printer stopped working when I tried to use Database. Error displayed: NET-503.,Service Request,critical
629,Outlook fails to load on my router showing TIMEOUT-22.,Hardware Issue,critical
630,Database fails to load on my desktop showing 0x80070005.,Account/Access Issue,high
631,There is a problem with Database on the server. Error: TIMEOUT-22.,Software Bug,critical
632,I can't log into Database from my printer. It returns AUTH-007.,Hardware Issue,medium
633,My laptop stopped working when I tried to use Salesforce. Error displayed: NET-503.,Network Problem,critical
634,CRM Portal keeps crashing on my laptop. Code NET-503.,Software Bug,critical
635,My printer stopped working when I tried to use Email. Error displayed: ERR-9999.,Account/Access Issue,critical
636,"I am unable to access Active Directory on my mobile, it shows error ERR42.",Security,medium
637,Zoom keeps crashing on my server. Code NET-503.,Hardware Issue,critical
638,WiFi fails to load on my laptop showing FAIL-101.,Security,high
639,There is a problem with Outlook on the desktop. Error: TIMEOUT-22.,Other,critical
640,My mobile stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Other,critical
641,VPN keeps crashing on my printer. Code ERR-9999.,Hardware Issue,high
642,Salesforce fails to load on my desktop showing ERR42.,Service Request,medium
643,My printer stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Software Bug,critical
644,My printer stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Service Request,medium
645,Salesforce fails to load on my server showing AUTH-007.,Other,medium
646,"I am unable to access WiFi on my server, it shows error NET-503.",Other,critical
647,I can't log into Teams from my server. It returns 0xC004F012.,Account/Access Issue,high
648,Database keeps crashing on my tablet. Code 0xC004F012.,Network Problem,high
649,"I am unable to access Email on my mobile, it shows error FAIL-101.",Network Problem,high
650,My printer stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Account/Access Issue,high
651,Teams keeps crashing on my laptop. Code TIMEOUT-22.,Software Bug,critical
652,I can't log into CRM Portal from my mobile. It returns ERR42.,Other,high
653,Email fails to load on my printer showing 0xC004F012.,Network Problem,high
654,Email fails to load on my server showing 0x80070005.,Service Request,high
655,My mobile stopped working when I tried to use WiFi. Error displayed: 0x80070005.,Service Request,high
656,I can't log into Teams from my desktop. It returns AUTH-007.,Account/Access Issue,medium
657,My tablet stopped working when I tried to use Zoom. Error displayed: NET-503.,Hardware Issue,critical
658,I can't log into Email from my laptop. It returns TIMEOUT-22.,Account/Access Issue,critical
659,My tablet stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Security,critical
660,I can't log into Active Directory from my mobile. It returns ERR42.,Other,low
661,I can't log into Salesforce from my server. It returns 0x80070005.,Account/Access Issue,high
662,VPN keeps crashing on my desktop. Code ERR42.,Other,low
663,My server stopped working when I tried to use Outlook. Error displayed: ERR-9999.,Security,medium
664,I can't log into Email from my tablet. It returns TIMEOUT-22.,Security,critical
665,WiFi fails to load on my desktop showing NET-503.,Network Problem,critical
666,Outlook keeps crashing on my tablet. Code NET-503.,Account/Access Issue,critical
667,There is a problem with CRM Portal on the printer. Error: ERR42.,Software Bug,medium
668,Zoom fails to load on my server showing ERR42.,Account/Access Issue,critical
669,My laptop stopped working when I tried to use Email. Error displayed: ERR-9999.,Service Request,low
670,My tablet stopped working when I tried to use Email. Error displayed: AUTH-007.,Network Problem,medium
671,There is a problem with VPN on the mobile. Error: 0x80070005.,Other,high
672,"I am unable to access Active Directory on my router, it shows error FAIL-101.",Network Problem,high
673,There is a problem with Salesforce on the printer. Error: 0x80070005.,Network Problem,high
674,There is a problem with VPN on the printer. Error: FAIL-101.,Security,high
675,Email keeps crashing on my tablet. Code ERR42.,Account/Access Issue,medium
676,VPN keeps crashing on my mobile. Code NET-503.,Network Problem,critical
677,Salesforce fails to load on my desktop showing 0x80070005.,Software Bug,high
678,My laptop stopped working when I tried to use Database. Error displayed: FAIL-101.,Other,high
679,My server stopped working when I tried to use Database. Error displayed: ERR42.,Security,critical
680,My server stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Service Request,critical
681,There is a problem with VPN on the desktop. Error: AUTH-007.,Other,medium
682,Teams keeps crashing on my tablet. Code 0x80070005.,Service Request,high
683,WiFi keeps crashing on my printer. Code NET-503.,Security,critical
684,Active Directory fails to load on my router showing AUTH-007.,Account/Access Issue,medium
685,Salesforce fails to load on my mobile showing FAIL-101.,Account/Access Issue,high
686,There is a problem with CRM Portal on the server. Error: FAIL-101.,Service Request,high
687,There is a problem with Outlook on the printer. Error: ERR42.,Software Bug,low
688,Database keeps crashing on my mobile. Code TIMEOUT-22.,Hardware Issue,critical
689,My mobile stopped working when I tried to use Teams. Error displayed: FAIL-101.,Account/Access Issue,high
690,I can't log into CRM Portal from my tablet. It returns 0xC004F012.,Security,high
691,Zoom keeps crashing on my desktop. Code ERR42.,Service Request,high
692,"I am unable to access Teams on my desktop, it shows error FAIL-101.",Security,high
693,I can't log into Teams from my tablet. It returns NET-503.,Security,critical
694,Email keeps crashing on my server. Code 0x80070005.,Account/Access Issue,high
695,There is a problem with Database on the desktop. Error: NET-503.,Hardware Issue,critical
696,CRM Portal fails to load on my router showing FAIL-101.,Software Bug,high
697,Outlook keeps crashing on my mobile. Code TIMEOUT-22.,Hardware Issue,critical
698,Email fails to load on my printer showing NET-503.,Account/Access Issue,critical
699,I can't log into Zoom from my router. It returns ERR42.,Account/Access Issue,high
700,My server stopped working when I tried to use CRM Portal. Error displayed: ERR42.,Service Request,critical
701,Database fails to load on my laptop showing ERR-9999.,Other,low
702,CRM Portal keeps crashing on my router. Code ERR-9999.,Software Bug,low
703,Email fails to load on my laptop showing ERR42.,Network Problem,medium
704,There is a problem with WiFi on the desktop. Error: ERR42.,Security,low
705,My router stopped working when I tried to use Outlook. Error displayed: NET-503.,Network Problem,critical
706,Outlook fails to load on my tablet showing TIMEOUT-22.,Other,critical
707,My laptop stopped working when I tried to use Email. Error displayed: AUTH-007.,Service Request,medium
708,Database keeps crashing on my router. Code FAIL-101.,Service Request,high
709,Teams keeps crashing on my mobile. Code AUTH-007.,Other,medium
710,My desktop stopped working when I tried to use Teams. Error displayed: 0x80070005.,Service Request,high
711,There is a problem with Salesforce on the laptop. Error: FAIL-101.,Security,high
712,My router stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Software Bug,high
713,Active Directory fails to load on my printer showing AUTH-007.,Security,medium
714,I can't log into Outlook from my printer. It returns AUTH-007.,Software Bug,medium
715,There is a problem with WiFi on the desktop. Error: AUTH-007.,Hardware Issue,medium
716,I can't log into Outlook from my laptop. It returns NET-503.,Other,critical
717,"I am unable to access Zoom on my printer, it shows error ERR-9999.",Network Problem,high
718,Teams keeps crashing on my desktop. Code AUTH-007.,Network Problem,medium
719,VPN fails to load on my mobile showing NET-503.,Account/Access Issue,critical
720,My mobile stopped working when I tried to use Email. Error displayed: AUTH-007.,Hardware Issue,medium
721,There is a problem with Active Directory on the desktop. Error: FAIL-101.,Software Bug,high
722,There is a problem with CRM Portal on the laptop. Error: AUTH-007.,Security,medium
723,There is a problem with CRM Portal on the router. Error: NET-503.,Software Bug,critical
724,There is a problem with WiFi on the printer. Error: NET-503.,Other,critical
725,I can't log into CRM Portal from my mobile. It returns ERR42.,Hardware Issue,low
726,My mobile stopped working when I tried to use Zoom. Error displayed: NET-503.,Software Bug,critical
727,Teams fails to load on my router showing ERR42.,Network Problem,critical
728,There is a problem with Database on the tablet. Error: ERR-9999.,Hardware Issue,critical
729,"I am unable to access Outlook on my printer, it shows error NET-503.",Network Problem,critical
730,I can't log into Email from my server. It returns FAIL-101.,Software Bug,high
731,There is a problem with Database on the printer. Error: NET-503.,Security,critical
732,Active Directory keeps crashing on my desktop. Code TIMEOUT-22.,Service Request,critical
733,VPN keeps crashing on my mobile. Code ERR-9999.,Account/Access Issue,low
734,My server stopped working when I tried to use Salesforce. Error displayed: FAIL-101.,Network Problem,high
735,VPN fails to load on my laptop showing ERR-9999.,Network Problem,low
736,I can't log into Email from my mobile. It returns 0xC004F012.,Hardware Issue,high
737,I can't log into WiFi from my tablet. It returns AUTH-007.,Software Bug,medium
738,I can't log into Active Directory from my laptop. It returns FAIL-101.,Service Request,high
739,I can't log into WiFi from my printer. It returns 0x80070005.,Hardware Issue,high
740,Teams fails to load on my router showing NET-503.,Software Bug,critical
741,There is a problem with Database on the server. Error: ERR-9999.,Service Request,high
742,Teams keeps crashing on my desktop. Code FAIL-101.,Other,high
743,"I am unable to access VPN on my printer, it shows error FAIL-101.",Other,high
744,There is a problem with Database on the server. Error: FAIL-101.,Security,high
745,"I am unable to access Active Directory on my router, it shows error NET-503.",Other,critical
746,VPN fails to load on my tablet showing TIMEOUT-22.,Account/Access Issue,critical
747,Database keeps crashing on my router. Code AUTH-007.,Network Problem,medium
748,"I am unable to access Salesforce on my desktop, it shows error FAIL-101.",Other,high
749,I can't log into Salesforce from my mobile. It returns AUTH-007.,Security,medium
750,Active Directory keeps crashing on my desktop. Code ERR-9999.,Network Problem,high
751,There is a problem with Teams on the printer. Error: 0xC004F012.,Other,high
752,I can't log into WiFi from my router. It returns FAIL-101.,Account/Access Issue,high
753,VPN fails to load on my laptop showing TIMEOUT-22.,Account/Access Issue,critical
754,Active Directory fails to load on my printer showing FAIL-101.,Hardware Issue,high
755,VPN keeps crashing on my server. Code ERR-9999.,Hardware Issue,medium
756,"I am unable to access Email on my mobile, it shows error FAIL-101.",Account/Access Issue,high
757,Zoom keeps crashing on my laptop. Code 0x80070005.,Other,high
758,There is a problem with Email on the mobile. Error: AUTH-007.,Service Request,medium
759,Database keeps crashing on my desktop. Code 0xC004F012.,Service Request,high
760,I can't log into Email from my router. It returns AUTH-007.,Software Bug,medium
761,CRM Portal fails to load on my mobile showing 0x80070005.,Security,high
762,There is a problem with Zoom on the mobile. Error: ERR42.,Hardware Issue,medium
