SNO,text,category,priority
595,My router stopped working when I tried to use Active Directory. Error displayed: 0xC004F012.,Other,high
596,Zoom keeps crashing on my printer. Code AUTH-007.,Account,medium
597,Active Directory fails to load on my router showing AUTH-007.,Account,medium
598,"I am unable to access Outlook on my router, it shows error TIMEOUT-22.",Other,critical
599,My printer stopped working when I tried to use CRM Portal. Error displayed: NET-503.,Network,critical
600,Database keeps crashing on my router. Code 0x80070005.,Account,high
601,I can't log into Active Directory from my mobile. It returns TIMEOUT-22.,Network,critical
602,I can't log into Teams from my server. It returns ERR-9999.,Account,medium
603,I can't log into Salesforce from my server. It returns 0xC004F012.,Other,high
604,My server stopped working when I tried to use Email. Error displayed: ERR-9999.,Other,low
605,"I am unable to access Outlook on my tablet, it shows error AUTH-007.",Account,medium
606,"I am unable to access WiFi on my printer, it shows error ERR42.",Hardware,high
607,"I am unable to access Teams on my tablet, it shows error NET-503.",Other,critical
608,"I am unable to access Teams on my laptop, it shows error NET-503.",Account,critical
609,Database fails to load on my desktop showing TIMEOUT-22.,Account,critical
610,My server stopped working when I tried to use Teams. Error displayed: TIMEOUT-22.,Account,critical
611,I can't log into Teams from my router. It returns 0xC004F012.,Software,high
612,VPN fails to load on my laptop showing FAIL-101.,Other,high
613,Email fails to load on my router showing ERR42.,Hardware,high
614,There is a problem with VPN on the server. Error: 0xC004F012.,Account,high
615,Outlook keeps crashing on my router. Code ERR42.,Other,critical
616,I can't log into Teams from my router. It returns AUTH-007.,Other,medium
617,There is a problem with Salesforce on the mobile. Error: 0x80070005.,Other,high
618,There is a problem with WiFi on the desktop. Error: 0xC004F012.,Other,high
619,There is a problem with Email on the desktop. Error: ERR42.,Other,critical
620,There is a problem with Teams on the printer. Error: FAIL-101.,Network,high
621,Zoom keeps crashing on my server. Code ERR42.,Account,medium
622,Email fails to load on my desktop showing ERR42.,Software,low
623,Zoom fails to load on my mobile showing 0x80070005.,Other,high
624,Zoom keeps crashing on my printer. Code ERR-9999.,Software,medium
625,There is a problem with Teams on the desktop. Error: 0xC004F012.,Other,high
626,VPN fails to load on my router showing 0x80070005.,Software,high
627,Email fails to load on my printer showing ERR-9999.,Other,low
628,My printer stopped working when I tried to use Database. Error displayed: NET-503.,Other,critical
629,Outlook fails to load on my router showing TIMEOUT-22.,Hardware,critical
630,Database fails to load on my desktop showing 0x80070005.,Account,high
631,There is a problem with Database on the server. Error: TIMEOUT-22.,Software,critical
632,I can't log into Database from my printer. It returns AUTH-007.,Hardware,medium
633,My laptop stopped working when I tried to use Salesforce. Error displayed: NET-503.,Network,critical
634,CRM Portal keeps crashing on my laptop. Code NET-503.,Software,critical
635,My printer stopped working when I tried to use Email. Error displayed: ERR-9999.,Account,critical
636,"I am unable to access Active Directory on my mobile, it shows error ERR42.",Account,medium
637,Zoom keeps crashing on my server. Code NET-503.,Hardware,critical
638,WiFi fails to load on my laptop showing FAIL-101.,Account,high
639,There is a problem with Outlook on the desktop. Error: TIMEOUT-22.,Other,critical
640,My mobile stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Other,critical
641,VPN keeps crashing on my printer. Code ERR-9999.,Hardware,high
642,Salesforce fails to load on my desktop showing ERR42.,Other,medium
643,My printer stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Software,critical
644,My printer stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Other,medium
645,Salesforce fails to load on my server showing AUTH-007.,Other,medium
646,"I am unable to access WiFi on my server, it shows error NET-503.",Other,critical
647,I can't log into Teams from my server. It returns 0xC004F012.,Account,high
648,Database keeps crashing on my tablet. Code 0xC004F012.,Network,high
649,"I am unable to access Email on my mobile, it shows error FAIL-101.",Network,high
650,My printer stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Account,high
651,Teams keeps crashing on my laptop. Code TIMEOUT-22.,Software,critical
652,I can't log into CRM Portal from my mobile. It returns ERR42.,Other,high
653,Email fails to load on my printer showing 0xC004F012.,Network,high
654,Email fails to load on my server showing 0x80070005.,Other,high
655,My mobile stopped working when I tried to use WiFi. Error displayed: 0x80070005.,Other,high
656,I can't log into Teams from my desktop. It returns AUTH-007.,Account,medium
657,My tablet stopped working when I tried to use Zoom. Error displayed: NET-503.,Hardware,critical
658,I can't log into Email from my laptop. It returns TIMEOUT-22.,Account,critical
659,My tablet stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Account,critical
660,I can't log into Active Directory from my mobile. It returns ERR42.,Other,low
661,I can't log into Salesforce from my server. It returns 0x80070005.,Account,high
662,VPN keeps crashing on my desktop. Code ERR42.,Other,low
663,My server stopped working when I tried to use Outlook. Error displayed: ERR-9999.,Account,medium
664,I can't log into Email from my tablet. It returns TIMEOUT-22.,Account,critical
665,WiFi fails to load on my desktop showing NET-503.,Network,critical
666,Outlook keeps crashing on my tablet. Code NET-503.,Account,critical
667,There is a problem with CRM Portal on the printer. Error: ERR42.,Software,medium
668,Zoom fails to load on my server showing ERR42.,Account,critical
669,My laptop stopped working when I tried to use Email. Error displayed: ERR-9999.,Other,low
670,My tablet stopped working when I tried to use Email. Error displayed: AUTH-007.,Network,medium
671,There is a problem with VPN on the mobile. Error: 0x80070005.,Other,high
672,"I am unable to access Active Directory on my router, it shows error FAIL-101.",Network,high
673,There is a problem with Salesforce on the printer. Error: 0x80070005.,Network,high
674,There is a problem with VPN on the printer. Error: FAIL-101.,Account,high
675,Email keeps crashing on my tablet. Code ERR42.,Account,medium
676,VPN keeps crashing on my mobile. Code NET-503.,Network,critical
677,Salesforce fails to load on my desktop showing 0x80070005.,Software,high
678,My laptop stopped working when I tried to use Database. Error displayed: FAIL-101.,Other,high
679,My server stopped working when I tried to use Database. Error displayed: ERR42.,Account,critical
680,My server stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Other,critical
681,There is a problem with VPN on the desktop. Error: AUTH-007.,Other,medium
682,Teams keeps crashing on my tablet. Code 0x80070005.,Other,high
683,WiFi keeps crashing on my printer. Code NET-503.,Account,critical
684,Active Directory fails to load on my router showing AUTH-007.,Account,medium
685,Salesforce fails to load on my mobile showing FAIL-101.,Account,high
686,There is a problem with CRM Portal on the server. Error: FAIL-101.,Other,high
687,There is a problem with Outlook on the printer. Error: ERR42.,Software,low
688,Database keeps crashing on my mobile. Code TIMEOUT-22.,Hardware,critical
689,My mobile stopped working when I tried to use Teams. Error displayed: FAIL-101.,Account,high
690,I can't log into CRM Portal from my tablet. It returns 0xC004F012.,Account,high
691,Zoom keeps crashing on my desktop. Code ERR42.,Other,high
692,"I am unable to access Teams on my desktop, it shows error FAIL-101.",Account,high
693,I can't log into Teams from my tablet. It returns NET-503.,Account,critical
694,Email keeps crashing on my server. Code 0x80070005.,Account,high
695,There is a problem with Database on the desktop. Error: NET-503.,Hardware,critical
696,CRM Portal fails to load on my router showing FAIL-101.,Software,high
697,Outlook keeps crashing on my mobile. Code TIMEOUT-22.,Hardware,critical
698,Email fails to load on my printer showing NET-503.,Account,critical
699,I can't log into Zoom from my router. It returns ERR42.,Account,high
700,My server stopped working when I tried to use CRM Portal. Error displayed: ERR42.,Other,critical
701,Database fails to load on my laptop showing ERR-9999.,Other,low
702,CRM Portal keeps crashing on my router. Code ERR-9999.,Software,low
703,Email fails to load on my laptop showing ERR42.,Network,medium
704,There is a problem with WiFi on the desktop. Error: ERR42.,Account,low
705,My router stopped working when I tried to use Outlook. Error displayed: NET-503.,Network,critical
706,Outlook fails to load on my tablet showing TIMEOUT-22.,Other,critical
707,My laptop stopped working when I tried to use Email. Error displayed: AUTH-007.,Other,medium
708,Database keeps crashing on my router. Code FAIL-101.,Other,high
709,Teams keeps crashing on my mobile. Code AUTH-007.,Other,medium
710,My desktop stopped working when I tried to use Teams. Error displayed: 0x80070005.,Other,high
711,There is a problem with Salesforce on the laptop. Error: FAIL-101.,Account,high
712,My router stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Software,high
713,Active Directory fails to load on my printer showing AUTH-007.,Account,medium
714,I can't log into Outlook from my printer. It returns AUTH-007.,Software,medium
715,There is a problem with WiFi on the desktop. Error: AUTH-007.,Hardware,medium
716,I can't log into Outlook from my laptop. It returns NET-503.,Other,critical
717,"I am unable to access Zoom on my printer, it shows error ERR-9999.",Network,high
718,Teams keeps crashing on my desktop. Code AUTH-007.,Network,medium
719,VPN fails to load on my mobile showing NET-503.,Account,critical
720,My mobile stopped working when I tried to use Email. Error displayed: AUTH-007.,Hardware,medium
721,There is a problem with Active Directory on the desktop. Error: FAIL-101.,Software,high
722,There is a problem with CRM Portal on the laptop. Error: AUTH-007.,Account,medium
723,There is a problem with CRM Portal on the router. Error: NET-503.,Software,critical
724,There is a problem with WiFi on the printer. Error: NET-503.,Other,critical
725,I can't log into CRM Portal from my mobile. It returns ERR42.,Hardware,low
726,My mobile stopped working when I tried to use Zoom. Error displayed: NET-503.,Software,critical
727,Teams fails to load on my router showing ERR42.,Network,critical
728,There is a problem with Database on the tablet. Error: ERR-9999.,Hardware,critical
729,"I am unable to access Outlook on my printer, it shows error NET-503.",Network,critical
730,I can't log into Email from my server. It returns FAIL-101.,Software,high
731,There is a problem with Database on the printer. Error: NET-503.,Account,critical
732,Active Directory keeps crashing on my desktop. Code TIMEOUT-22.,Other,critical
733,VPN keeps crashing on my mobile. Code ERR-9999.,Account,low
734,My server stopped working when I tried to use Salesforce. Error displayed: FAIL-101.,Network,high
735,VPN fails to load on my laptop showing ERR-9999.,Network,low
736,I can't log into Email from my mobile. It returns 0xC004F012.,Hardware,high
737,I can't log into WiFi from my tablet. It returns AUTH-007.,Software,medium
738,I can't log into Active Directory from my laptop. It returns FAIL-101.,Other,high
739,I can't log into WiFi from my printer. It returns 0x80070005.,Hardware,high
740,Teams fails to load on my router showing NET-503.,Software,critical
741,There is a problem with Database on the server. Error: ERR-9999.,Other,high
742,Teams keeps crashing on my desktop. Code FAIL-101.,Other,high
743,"I am unable to access VPN on my printer, it shows error FAIL-101.",Other,high
744,There is a problem with Database on the server. Error: FAIL-101.,Account,high
745,"I am unable to access Active Directory on my router, it shows error NET-503.",Other,critical
746,VPN fails to load on my tablet showing TIMEOUT-22.,Account,critical
747,Database keeps crashing on my router. Code AUTH-007.,Network,medium
748,"I am unable to access Salesforce on my desktop, it shows error FAIL-101.",Other,high
749,I can't log into Salesforce from my mobile. It returns AUTH-007.,Account,medium
750,Active Directory keeps crashing on my desktop. Code ERR-9999.,Network,high
751,There is a problem with Teams on the printer. Error: 0xC004F012.,Other,high
752,I can't log into WiFi from my router. It returns FAIL-101.,Account,high
753,VPN fails to load on my laptop showing TIMEOUT-22.,Account,critical
754,Active Directory fails to load on my printer showing FAIL-101.,Hardware,high
755,VPN keeps crashing on my server. Code ERR-9999.,Hardware,medium
756,"I am unable to access Email on my mobile, it shows error FAIL-101.",Account,high
757,Zoom keeps crashing on my laptop. Code 0x80070005.,Other,high
758,There is a problem with Email on the mobile. Error: AUTH-007.,Other,medium
759,Database keeps crashing on my desktop. Code 0xC004F012.,Other,high
760,I can't log into Email from my router. It returns AUTH-007.,Software,medium
761,CRM Portal fails to load on my mobile showing 0x80070005.,Account,high
762,There is a problem with Zoom on the mobile. Error: ERR42.,Hardware,medium
763,My printer stopped working when I tried to use Salesforce. Error displayed: 0xC004F012.,Account,high
764,Outlook keeps crashing on my laptop. Code 0x80070005.,Network,high
765,Database fails to load on my router showing 0xC004F012.,Other,high
766,I can't log into Database from my printer. It returns ERR-9999.,Software,critical
767,I can't log into Teams from my mobile. It returns ERR42.,Other,high
768,CRM Portal fails to load on my router showing TIMEOUT-22.,Other,critical
769,There is a problem with Outlook on the laptop. Error: FAIL-101.,Other,high
770,I can't log into Active Directory from my printer. It returns ERR-9999.,Other,high
771,There is a problem with Salesforce on the printer. Error: ERR-9999.,Other,low
772,"I am unable to access CRM Portal on my server, it shows error FAIL-101.",Account,high
773,There is a problem with Database on the tablet. Error: TIMEOUT-22.,Other,critical
774,I can't log into Active Directory from my printer. It returns ERR-9999.,Account,critical
775,"I am unable to access Outlook on my desktop, it shows error ERR42.",Network,critical
776,I can't log into CRM Portal from my laptop. It returns FAIL-101.,Account,high
777,VPN fails to load on my tablet showing 0x80070005.,Account,high
778,Active Directory keeps crashing on my laptop. Code ERR-9999.,Other,medium
779,WiFi fails to load on my desktop showing ERR-9999.,Account,high
780,WiFi fails to load on my laptop showing 0x80070005.,Account,high
781,"I am unable to access VPN on my server, it shows error 0x80070005.",Software,high
782,CRM Portal fails to load on my desktop showing 0xC004F012.,Account,high
783,Email fails to load on my printer showing ERR42.,Other,medium
784,Zoom keeps crashing on my server. Code TIMEOUT-22.,Software,critical
785,"I am unable to access Active Directory on my tablet, it shows error TIMEOUT-22.",Other,critical
786,"I am unable to access Active Directory on my tablet, it shows error 0x80070005.",Account,high
787,My router stopped working when I tried to use Email. Error displayed: ERR42.,Network,high
788,Salesforce fails to load on my desktop showing AUTH-007.,Account,medium
789,My router stopped working when I tried to use Salesforce. Error displayed: NET-503.,Other,critical
790,I can't log into Database from my server. It returns ERR42.,Software,low
791,I can't log into Email from my server. It returns ERR42.,Software,medium
792,VPN keeps crashing on my laptop. Code ERR42.,Account,low
793,Database fails to load on my printer showing ERR-9999.,Other,critical
794,Teams fails to load on my laptop showing AUTH-007.,Account,medium
795,There is a problem with Zoom on the tablet. Error: NET-503.,Account,critical
796,WiFi fails to load on my laptop showing ERR42.,Software,low
797,"I am unable to access Salesforce on my laptop, it shows error NET-503.",Hardware,critical
798,VPN keeps crashing on my server. Code TIMEOUT-22.,Account,critical
799,I can't log into CRM Portal from my desktop. It returns FAIL-101.,Hardware,high
800,"I am unable to access Zoom on my server, it shows error FAIL-101.",Other,high
801,There is a problem with Outlook on the tablet. Error: 0x80070005.,Account,high
802,My tablet stopped working when I tried to use Salesforce. Error displayed: 0xC004F012.,Hardware,high
803,VPN fails to load on my printer showing 0x80070005.,Hardware,high
804,Salesforce keeps crashing on my tablet. Code TIMEOUT-22.,Other,critical
805,Active Directory keeps crashing on my router. Code FAIL-101.,Other,high
806,There is a problem with Salesforce on the server. Error: FAIL-101.,Network,high
807,My router stopped working when I tried to use Active Directory. Error displayed: 0x80070005.,Other,high
808,My router stopped working when I tried to use Salesforce. Error displayed: 0x80070005.,Other,high
809,"I am unable to access Outlook on my router, it shows error 0x80070005.",Account,high
810,"I am unable to access Outlook on my laptop, it shows error AUTH-007.",Software,medium
811,Salesforce keeps crashing on my router. Code ERR42.,Account,critical
812,My server stopped working when I tried to use Zoom. Error displayed: ERR42.,Network,low
813,There is a problem with Zoom on the tablet. Error: ERR-9999.,Other,medium
814,My tablet stopped working when I tried to use VPN. Error displayed: AUTH-007.,Hardware,medium
815,"I am unable to access Outlook on my server, it shows error AUTH-007.",Hardware,medium
816,WiFi keeps crashing on my tablet. Code 0xC004F012.,Network,high
817,There is a problem with Active Directory on the server. Error: FAIL-101.,Network,high
818,My tablet stopped working when I tried to use Salesforce. Error displayed: 0x80070005.,Other,high
819,"I am unable to access Teams on my printer, it shows error FAIL-101.",Other,high
820,Teams keeps crashing on my server. Code AUTH-007.,Account,medium
821,VPN keeps crashing on my tablet. Code TIMEOUT-22.,Software,critical
822,I can't log into Salesforce from my router. It returns ERR42.,Network,critical
823,My tablet stopped working when I tried to use VPN. Error displayed: ERR42.,Network,critical
824,There is a problem with WiFi on the desktop. Error: ERR-9999.,Account,medium
825,My desktop stopped working when I tried to use Outlook. Error displayed: AUTH-007.,Hardware,medium
826,My server stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Account,critical
827,"I am unable to access Email on my router, it shows error 0x80070005.",Software,high
828,My laptop stopped working when I tried to use Active Directory. Error displayed: 0xC004F012.,Software,high
829,Salesforce keeps crashing on my desktop. Code FAIL-101.,Network,high
830,I can't log into Outlook from my tablet. It returns ERR42.,Network,medium
831,"I am unable to access Outlook on my tablet, it shows error AUTH-007.",Software,medium
832,"I am unable to access Zoom on my router, it shows error 0xC004F012.",Account,high
833,Active Directory keeps crashing on my printer. Code FAIL-101.,Account,high
834,I can't log into Email from my printer. It returns NET-503.,Software,critical
835,Database keeps crashing on my laptop. Code FAIL-101.,Software,high
836,"I am unable to access VPN on my router, it shows error AUTH-007.",Account,medium
837,WiFi fails to load on my server showing TIMEOUT-22.,Account,critical
838,Zoom keeps crashing on my router. Code ERR-9999.,Network,medium
839,"I am unable to access Zoom on my server, it shows error 0xC004F012.",Software,high
840,There is a problem with Salesforce on the desktop. Error: AUTH-007.,Account,medium
841,I can't log into Email from my desktop. It returns AUTH-007.,Account,medium
842,I can't log into Database from my desktop. It returns 0x80070005.,Account,high
843,"I am unable to access Teams on my laptop, it shows error FAIL-101.",Account,high
844,My laptop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Other,medium
845,I can't log into VPN from my server. It returns 0x80070005.,Account,high
846,"I am unable to access Salesforce on my laptop, it shows error 0xC004F012.",Other,high
847,My server stopped working when I tried to use Email. Error displayed: AUTH-007.,Network,medium
848,My mobile stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Account,medium
849,Email keeps crashing on my mobile. Code AUTH-007.,Network,medium
850,My server stopped working when I tried to use Outlook. Error displayed: 0x80070005.,Hardware,high
851,I can't log into Outlook from my mobile. It returns TIMEOUT-22.,Account,critical
852,I can't log into Active Directory from my server. It returns ERR42.,Other,medium
853,CRM Portal fails to load on my router showing TIMEOUT-22.,Account,critical
854,Salesforce keeps crashing on my desktop. Code FAIL-101.,Network,high
855,My mobile stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Account,critical
856,WiFi keeps crashing on my server. Code FAIL-101.,Hardware,high
857,There is a problem with VPN on the tablet. Error: NET-503.,Other,critical
858,There is a problem with Database on the tablet. Error: FAIL-101.,Other,high
859,There is a problem with CRM Portal on the router. Error: ERR-9999.,Account,low
860,I can't log into Database from my laptop. It returns AUTH-007.,Network,medium
861,There is a problem with Teams on the router. Error: ERR-9999.,Account,low
862,My desktop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Other,low
863,Outlook keeps crashing on my mobile. Code ERR42.,Account,medium
864,My printer stopped working when I tried to use Teams. Error displayed: ERR-9999.,Hardware,low
865,Active Directory fails to load on my server showing NET-503.,Hardware,critical
866,There is a problem with WiFi on the tablet. Error: ERR-9999.,Hardware,critical
867,There is a problem with Salesforce on the printer. Error: 0x80070005.,Software,high
868,CRM Portal keeps crashing on my desktop. Code AUTH-007.,Software,medium
869,My tablet stopped working when I tried to use Zoom. Error displayed: TIMEOUT-22.,Account,critical
870,WiFi fails to load on my laptop showing 0x80070005.,Software,high
871,There is a problem with Zoom on the desktop. Error: 0x80070005.,Software,high
872,My laptop stopped working when I tried to use Database. Error displayed: 0x80070005.,Software,high
873,My server stopped working when I tried to use Database. Error displayed: AUTH-007.,Hardware,medium
874,I can't log into Active Directory from my tablet. It returns 0xC004F012.,Other,high
875,Teams keeps crashing on my mobile. Code TIMEOUT-22.,Software,critical
876,CRM Portal fails to load on my mobile showing ERR42.,Account,high
877,"I am unable to access WiFi on my printer, it shows error AUTH-007.",Account,medium
878,Teams fails to load on my mobile showing FAIL-101.,Network,high
879,Zoom keeps crashing on my server. Code NET-503.,Account,critical
880,Database fails to load on my laptop showing FAIL-101.,Other,high
881,Database keeps crashing on my printer. Code AUTH-007.,Account,medium
882,"I am unable to access Teams on my printer, it shows error AUTH-007.",Account,medium
883,There is a problem with Outlook on the tablet. Error: 0x80070005.,Other,high
884,I can't log into WiFi from my desktop. It returns ERR-9999.,Hardware,high
885,"I am unable to access WiFi on my printer, it shows error TIMEOUT-22.",Network,critical
886,My server stopped working when I tried to use Salesforce. Error displayed: FAIL-101.,Other,high
887,Teams keeps crashing on my tablet. Code 0xC004F012.,Software,high
888,My mobile stopped working when I tried to use Active Directory. Error displayed: NET-503.,Hardware,critical
889,I can't log into Active Directory from my tablet. It returns AUTH-007.,Other,medium
890,VPN fails to load on my laptop showing ERR-9999.,Other,high
891,Zoom keeps crashing on my printer. Code ERR42.,Network,low
892,"I am unable to access WiFi on my printer, it shows error FAIL-101.",Network,high
893,My server stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Software,medium
894,There is a problem with Active Directory on the desktop. Error: NET-503.,Hardware,critical
895,There is a problem with Zoom on the desktop. Error: NET-503.,Account,critical
896,There is a problem with WiFi on the server. Error: NET-503.,Account,critical
897,My laptop stopped working when I tried to use Active Directory. Error displayed: 0x80070005.,Hardware,high
898,There is a problem with VPN on the laptop. Error: AUTH-007.,Account,medium
899,There is a problem with Teams on the laptop. Error: ERR-9999.,Hardware,medium
900,There is a problem with CRM Portal on the mobile. Error: FAIL-101.,Hardware,high
901,"I am unable to access Active Directory on my tablet, it shows error 0xC004F012.",Other,high
902,My desktop stopped working when I tried to use Teams. Error displayed: AUTH-007.,Hardware,medium
903,There is a problem with Email on the desktop. Error: ERR-9999.,Account,low
904,My router stopped working when I tried to use Teams. Error displayed: ERR42.,Network,medium
905,My desktop stopped working when I tried to use Email. Error displayed: AUTH-007.,Other,medium
906,My server stopped working when I tried to use WiFi. Error displayed: NET-503.,Hardware,critical
907,There is a problem with VPN on the printer. Error: NET-503.,Software,critical
908,There is a problem with Database on the router. Error: 0x80070005.,Other,high
909,There is a problem with Database on the server. Error: 0x80070005.,Other,high
910,WiFi fails to load on my server showing ERR42.,Account,critical
911,There is a problem with Email on the tablet. Error: 0x80070005.,Account,high
912,There is a problem with Active Directory on the router. Error: AUTH-007.,Network,medium
913,There is a problem with Salesforce on the tablet. Error: AUTH-007.,Account,medium
914,There is a problem with WiFi on the tablet. Error: 0x80070005.,Account,high
915,Active Directory keeps crashing on my printer. Code FAIL-101.,Other,high
916,"I am unable to access WiFi on my server, it shows error ERR-9999.",Network,high
917,I can't log into Teams from my tablet. It returns NET-503.,Hardware,critical
918,I can't log into Salesforce from my tablet. It returns 0x80070005.,Network,high
919,My mobile stopped working when I tried to use WiFi. Error displayed: 0x80070005.,Account,high
920,Database keeps crashing on my server. Code FAIL-101.,Hardware,high
921,Outlook fails to load on my printer showing AUTH-007.,Account,medium
922,I can't log into Teams from my mobile. It returns NET-503.,Account,critical
923,Database keeps crashing on my mobile. Code 0x80070005.,Hardware,high
924,There is a problem with Email on the laptop. Error: AUTH-007.,Other,medium
925,My laptop stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Account,medium
926,My mobile stopped working when I tried to use Teams. Error displayed: AUTH-007.,Network,medium
927,There is a problem with Email on the router. Error: AUTH-007.,Account,medium
928,There is a problem with VPN on the desktop. Error: AUTH-007.,Software,medium
929,WiFi keeps crashing on my desktop. Code ERR42.,Other,critical
930,There is a problem with Outlook on the tablet. Error: FAIL-101.,Software,high
931,VPN fails to load on my mobile showing 0xC004F012.,Other,high
932,I can't log into WiFi from my server. It returns ERR-9999.,Network,medium
933,Database keeps crashing on my mobile. Code TIMEOUT-22.,Hardware,critical
934,Email fails to load on my tablet showing AUTH-007.,Account,medium
935,There is a problem with VPN on the tablet. Error: 0xC004F012.,Other,high
936,Outlook fails to load on my mobile showing 0x80070005.,Other,high
937,"I am unable to access Outlook on my mobile, it shows error AUTH-007.",Other,medium
938,My printer stopped working when I tried to use Zoom. Error displayed: NET-503.,Other,critical
939,I can't log into WiFi from my laptop. It returns AUTH-007.,Other,medium
940,"I am unable to access VPN on my router, it shows error ERR-9999.",Network,critical
941,There is a problem with CRM Portal on the desktop. Error: ERR42.,Other,critical
942,"I am unable to access WiFi on my router, it shows error TIMEOUT-22.",Other,critical
943,I can't log into Active Directory from my tablet. It returns 0x80070005.,Other,high
944,My mobile stopped working when I tried to use Email. Error displayed: 0xC004F012.,Other,high
945,Email keeps crashing on my printer. Code AUTH-007.,Hardware,medium
946,VPN keeps crashing on my laptop. Code ERR42.,Account,medium
947,My desktop stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Other,low
948,"I am unable to access CRM Portal on my desktop, it shows error ERR-9999.",Other,high
949,WiFi keeps crashing on my mobile. Code FAIL-101.,Software,high
950,I can't log into Outlook from my printer. It returns NET-503.,Network,critical
951,Active Directory keeps crashing on my laptop. Code TIMEOUT-22.,Account,critical
952,My laptop stopped working when I tried to use Outlook. Error displayed: NET-503.,Software,critical
953,There is a problem with Email on the laptop. Error: 0xC004F012.,Account,high
954,There is a problem with Outlook on the tablet. Error: ERR-9999.,Account,critical
955,There is a problem with Zoom on the desktop. Error: 0x80070005.,Account,high
956,My tablet stopped working when I tried to use VPN. Error displayed: ERR-9999.,Software,medium
957,My desktop stopped working when I tried to use Database. Error displayed: ERR-9999.,Software,medium
958,"I am unable to access WiFi on my mobile, it shows error TIMEOUT-22.",Other,critical
959,There is a problem with Teams on the router. Error: NET-503.,Other,critical
960,WiFi keeps crashing on my server. Code AUTH-007.,Software,medium
961,My router stopped working when I tried to use Zoom. Error displayed: NET-503.,Network,critical
962,Active Directory fails to load on my mobile showing FAIL-101.,Software,high
963,Salesforce fails to load on my printer showing 0x80070005.,Network,high
964,Active Directory keeps crashing on my desktop. Code FAIL-101.,Other,high
965,I can't log into Database from my server. It returns AUTH-007.,Network,medium
966,My router stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Account,critical
967,"I am unable to access Active Directory on my mobile, it shows error 0xC004F012.",Hardware,high
968,Active Directory keeps crashing on my mobile. Code ERR42.,Other,high
969,"I am unable to access Email on my laptop, it shows error AUTH-007.",Software,medium
970,Teams fails to load on my laptop showing 0x80070005.,Other,high
971,There is a problem with WiFi on the router. Error: TIMEOUT-22.,Account,critical
972,"I am unable to access Teams on my mobile, it shows error TIMEOUT-22.",Other,critical
973,"I am unable to access Active Directory on my desktop, it shows error TIMEOUT-22.",Hardware,critical
974,"I am unable to access Database on my router, it shows error TIMEOUT-22.",Hardware,critical
975,CRM Portal keeps crashing on my desktop. Code NET-503.,Other,critical
976,My printer stopped working when I tried to use Outlook. Error displayed: NET-503.,Software,critical
977,My printer stopped working when I tried to use CRM Portal. Error displayed: ERR42.,Software,medium
978,There is a problem with Salesforce on the tablet. Error: FAIL-101.,Account,high
979,There is a problem with Database on the mobile. Error: 0x80070005.,Hardware,high
980,I can't log into CRM Portal from my router. It returns FAIL-101.,Hardware,high
981,My laptop stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Hardware,high
982,VPN fails to load on my desktop showing ERR42.,Account,medium
983,"I am unable to access VPN on my mobile, it shows error TIMEOUT-22.",Account,critical
984,Database keeps crashing on my desktop. Code AUTH-007.,Account,medium
985,Active Directory fails to load on my server showing 0x80070005.,Account,high
986,Teams fails to load on my printer showing NET-503.,Other,critical
987,I can't log into Email from my mobile. It returns ERR-9999.,Hardware,critical
988,Zoom keeps crashing on my desktop. Code 0x80070005.,Hardware,high
989,Active Directory fails to load on my desktop showing TIMEOUT-22.,Network,critical
990,My router stopped working when I tried to use Outlook. Error displayed: ERR42.,Other,high
991,My laptop stopped working when I tried to use WiFi. Error displayed: 0xC004F012.,Network,high
992,I can't log into Salesforce from my printer. It returns FAIL-101.,Account,high
993,"I am unable to access WiFi on my desktop, it shows error AUTH-007.",Account,medium
994,CRM Portal fails to load on my tablet showing NET-503.,Software,critical
995,I can't log into Teams from my router. It returns 0xC004F012.,Network,high
996,There is a problem with WiFi on the printer. Error: ERR-9999.,Account,critical
997,"I am unable to access WiFi on my mobile, it shows error 0xC004F012.",Other,high
998,Database fails to load on my printer showing 0xC004F012.,Account,high
999,Outlook keeps crashing on my mobile. Code 0xC004F012.,Network,high
1000,Teams keeps crashing on my tablet. Code FAIL-101.,Account,high
1001,I can't log into WiFi from my tablet. It returns ERR-9999.,Hardware,critical
1002,Database keeps crashing on my printer. Code ERR-9999.,Hardware,high
1003,Outlook fails to load on my laptop showing ERR42.,Hardware,high
1004,"I am unable to access Zoom on my desktop, it shows error ERR42.",Account,high
